tool_cn,round,rc,ms,precision,recall,f1,detected_count
rscan(aggressive),1,0,378,0.9411764705882353,1.0,0.9696969696969697,17
rscan(aggressive),2,0,458,1.0,1.0,1.0,16
rscan(aggressive),3,0,442,0.9411764705882353,1.0,0.9696969696969697,17
rscan(aggressive),4,0,410,0.9411764705882353,1.0,0.9696969696969697,17
rscan(aggressive),5,0,474,1.0,1.0,1.0,16
rustscan(默认),1,0,1760,0.8888888888888888,1.0,0.9411764705882353,18
rustscan(默认),2,0,1795,1.0,1.0,1.0,16
rustscan(默认),3,0,1829,1.0,1.0,1.0,16
rustscan(默认),4,0,1776,0.9411764705882353,1.0,0.9696969696969697,17
rustscan(默认),5,0,1838,0.9411764705882353,1.0,0.9696969696969697,17
nmap(默认),1,0,442,1.0,1.0,1.0,16
nmap(默认),2,0,1446,1.0,1.0,1.0,16
nmap(默认),3,0,435,1.0,1.0,1.0,16
nmap(默认),4,0,445,1.0,1.0,1.0,16
nmap(默认),5,0,433,1.0,1.0,1.0,16
